0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:35 +0900] "GET /java-cafe/resources/menuImg/018d798236f3435382c6d9e5cca9c230.png HTTP/1.1" 200 49668
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:35 +0900] "GET /java-cafe/resources/menuImg/b8c3af3368e240579552be872513ebcb.png HTTP/1.1" 200 43435
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:35 +0900] "GET /java-cafe/resources/menuImg/07401ae0b5b246abbf2a53faf5c6741a.png HTTP/1.1" 200 52809
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:37 +0900] "POST /java-cafe/kiosk/requestObject HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:37 +0900] "GET /java-cafe/resources/menuImg/c464f78ca43d4142bdde86542074b03e.png HTTP/1.1" 200 118078
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:37 +0900] "GET /java-cafe/resources/menuImg/31688ebc3c644c9bab855e91147d5bd9.png HTTP/1.1" 200 90646
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:37 +0900] "GET /java-cafe/resources/menuImg/c418a93b713c4cc1a827af302e9496ae.png HTTP/1.1" 200 129608
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:37 +0900] "GET /java-cafe/resources/menuImg/ea3a15fd63b842c394ccee388d7ed32e.png HTTP/1.1" 200 113539
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:38 +0900] "POST /java-cafe/kiosk/requestObject HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:38 +0900] "GET /java-cafe/resources/menuImg/41c8e46413bf4e8d8e68b5fd74b186e4.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:39 +0900] "GET /java-cafe/kiosk/main HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:39 +0900] "GET /java-cafe/resources/css/main.css HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:39 +0900] "GET /java-cafe/resources/css/customize.css HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:39 +0900] "GET /java-cafe/resources/js/main.js HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:39 +0900] "GET /java-cafe/resources/coffee.png HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:41 +0900] "POST /java-cafe/kiosk/requestObject HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:41 +0900] "GET /java-cafe/resources/menuImg/41c8e46413bf4e8d8e68b5fd74b186e4.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:55 +0900] "GET /java-cafe/kiosk/main HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:56 +0900] "GET /java-cafe/kiosk/main HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:57 +0900] "POST /java-cafe/kiosk/requestObject HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:57 +0900] "GET /java-cafe/resources/menuImg/41c8e46413bf4e8d8e68b5fd74b186e4.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:39:45 +0900] "GET /java-cafe/menuitem/add_menuitem HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:39:53 +0900] "GET /java-cafe/menuitem/view_menu HTTP/1.1" 200 8225
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:39:53 +0900] "GET /java-cafe/resources/menuImg/41c8e46413bf4e8d8e68b5fd74b186e4.png HTTP/1.1" 404 721
